PMID	Pubdate	Journal	Disease ID	Disease Text	Food ID	Food Text	Sentence	Labels
16635538	2006	Vaccine	MESH:D007896	leishmaniasis	Food ID:4682	garlic	In this work we tested the immunotherapy against Leishmania (L.) chagasi infection, using two doses of 100 or 20 microg VR1012-NH36 vaccine (i.m. route), and, as a possible immunomodulator, aqueous ANN-FOOD extract (8 mg/kg/day by the i.p. route), which was effective in immunotherapy of cutaneous murine ANN-DISEASE.	Positive
16635538	2006	Vaccine	MESH:D008109	Liver parasitic	Food ID:4682	garlic	ANN-DISEASE load was significantly reduced following treatment with 100 microg (91%) and 20 microg (77%) of the DNA vaccine, and by 20 microg DNA vaccine and ANN-FOOD extract (76%) (p=0.023).	Positive
16635538	2006	Vaccine	MESH:D007898	visceral leishmaniasis	Food ID:4682	garlic	The NH36-DNA vaccine was highly effective as a new tool for the therapy and control of ANN-DISEASE, while the mild protective effect of ANN-FOOD might be related to an unspecific enhancement of IFN-gamma secretion.	Positive
16635740	2006	Phytomedicine : international journal of phytotherapy and phytopharmacology	MESH:D009336	necrosis	Food ID:555479	Nigella sativa L	In this study we report the effects of a herbal melanin, extracted from ANN-FOOD., on the production of three cytokines [tumor ANN-DISEASE factor alpha (TNF-alpha), interleukin 6 (IL-6) and vascular endothelial growth factor (VEGF)], by human monocytes, total peripheral blood mononuclear cells (PBMC) and THP-1 cell line.	Neutral
16636327	2006	CMAJ : Canadian Medical Association journal = journal de l'Association medicale canadienne	MESH:D006470	hemorrhages	Food ID:99037	chamomile	We describe the case of a 70-year-old woman who, while being treated with warfarin, was admitted to hospital with multiple internal ANN-DISEASE after having used ANN-FOOD products (tea and body lotion) to soothe upper respiratory tract symptoms.	Neutral
16641443	2006	Antimicrobial agents and chemotherapy	MESH:D008288	malaria infection	Food ID:4682	garlic	Here we tested allicin, a cysteine protease inhibitor found in ANN-FOOD extracts, for its ability to inhibit ANN-DISEASE.	Neutral
16647233	2006	Journal of ethnopharmacology	MESH:D007249	inflammation	Food ID:13329	yarrow	(Asteraceae), popularly known as ANN-FOOD, has been used in folk medicine to treat complaints such as ANN-DISEASE, pain, wounds, hemorrhages and gastrointestinal disturbances.	Positive
16647233	2006	Journal of ethnopharmacology	MESH:D010146	pain	Food ID:13329	yarrow	(Asteraceae), popularly known as ANN-FOOD, has been used in folk medicine to treat complaints such as inflammation, ANN-DISEASE, wounds, hemorrhages and gastrointestinal disturbances.	Positive
16647233	2006	Journal of ethnopharmacology	MESH:D006470	hemorrhages	Food ID:13329	yarrow	(Asteraceae), popularly known as ANN-FOOD, has been used in folk medicine to treat complaints such as inflammation, pain, wounds, ANN-DISEASE and gastrointestinal disturbances.	Positive
16647233	2006	Journal of ethnopharmacology	MESH:D005767	gastrointestinal disturbances	Food ID:13329	yarrow	(Asteraceae), popularly known as ANN-FOOD, has been used in folk medicine to treat complaints such as inflammation, pain, wounds, hemorrhages and ANN-DISEASE.	Positive
16647233	2006	Journal of ethnopharmacology	MESH:D064420	toxicity	Food ID:13329	Achillea millefolium	Overall, the results show the antiulcer potential of the aerial parts of the ANN-FOOD which is accompanied by no signs of relevant ANN-DISEASE even at very long chronic exposure.	Neutral
16650054	2006	Clinical and experimental allergy : journal of the British Society for Allergy and Clinical Immunology	OMIM:613207	Rhinoconjunctivitis	Food ID:58039	Juniper	Assessments were the ANN-FOOD mini ANN-DISEASE Quality-of-Life Questionnaire (mini-RQLQ), domiciliary peak nasal inspiratory flow (PNIF), total nasal symptoms (TNS) scores and nasal nitric oxide concentrations.	Neutral
18553893	2008	Journal of agricultural and food chemistry	MESH:D005767	gastrointestinal	Food ID:99037	chamomile	Although experimental evidence supporting the use of ANN-FOOD for ANN-DISEASE minor spasms dates back to the fifties, cAMP-PDE inhibition as a likely mechanism underlying the spasmolytic activity is reported for the first time.	Positive
18553893	2008	Journal of agricultural and food chemistry	MESH:D013035	spasms	Food ID:99037	chamomile	Although experimental evidence supporting the use of ANN-FOOD for gastrointestinal minor ANN-DISEASE dates back to the fifties, cAMP-PDE inhibition as a likely mechanism underlying the spasmolytic activity is reported for the first time.	Positive
18570215	2008	Phytotherapy research : PTR	MESH:D015179	colon cancer	Food ID:555479	Nigella sativa	This study examined the chemopreventive effect of ANN-FOOD and some of its antioxidant constituents on a number of ANN-DISEASE biomarkers in rats induced with azoxymethane (AOM).	Neutral
18570215	2008	Phytotherapy research : PTR	MESH:D063646	colon carcinogenesis	Food ID:555479	Nigella sativa	Although the exact mechanisms involved in the protective role of ANN-FOOD against the initiation of ANN-DISEASE are not clearly understood, the results suggest that its inhibitory effects might depend on the combined competitive inhibition of various antioxidant constituents of this plant.	Positive
18571884	2008	Journal of ethnopharmacology	MESH:D005767	gastrointestinal disturbances	Food ID:94328	Ginger	BACKGROUND ``ETHNOPHARMACOLOGICAL RELEVANCE'': ANN-FOOD rhizomes are used traditionally for management of different ANN-DISEASE.	Positive
18571884	2008	Journal of ethnopharmacology	MESH:D003093	ulcerative colitis	Food ID:94328	ginger	OBJECTIVE ``AIM OF THE STUDY'': The purpose of the present study is to evaluate the potential role of ANN-FOOD extract [GE] in modulating the extent and severity of ANN-DISEASE (UC), a chronically recurrent inflammatory bowel disease of unknown origin.	Neutral
18571884	2008	Journal of ethnopharmacology	MESH:D015212	inflammatory bowel disease	Food ID:94328	ginger	OBJECTIVE ``AIM OF THE STUDY'': The purpose of the present study is to evaluate the potential role of ANN-FOOD extract [GE] in modulating the extent and severity of ulcerative colitis (UC), a chronically recurrent ANN-DISEASE of unknown origin.	Neutral
18571884	2008	Journal of ethnopharmacology	MESH:D003093	ulcerative colitis	Food ID:94328	ginger	CONCLUSIONS: Results showed a valuable effect of ANN-FOOD extract against acetic acid-induced ANN-DISEASE possibly by its antioxidant and anti-inflammatory properties.	Positive
20473715	2010	Tropical animal health and production	MESH:D007239	infection	Food ID:4682	garlic	A study was conducted to investigate the protective and therapeutic effects of crude ANN-FOOD (Allium sativum) against experimental ANN-DISEASE with Eimeria stiedae in rabbits.	Neutral
20473715	2010	Tropical animal health and production	MESH:D007239	infection	Food ID:4682	Allium sativum	A study was conducted to investigate the protective and therapeutic effects of crude garlic (ANN-FOOD) against experimental ANN-DISEASE with Eimeria stiedae in rabbits.	Neutral
20473715	2010	Tropical animal health and production	MESH:D003048	hepatic coccidiosis	Food ID:4682	garlic	These results showed that oral administration of crude ANN-FOOD ameliorated the adverse impacts of ANN-DISEASE on rabbits when used as a prophylactic, but garlic was less effective as a therapeutic.	Positive
20473715	2010	Tropical animal health and production	MESH:D003048	hepatic coccidiosis	Food ID:4682	garlic	These results showed that oral administration of crude garlic ameliorated the adverse impacts of ANN-DISEASE on rabbits when used as a prophylactic, but ANN-FOOD was less effective as a therapeutic.	Neutral
20478349	2010	Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association	MESH:D056486	hepatic injury	Food ID:13427	chicory	So, it could be concluded that ANN-FOOD has a promising role and it worth to be considered as a natural substance for ameliorating the oxidative stress and ANN-DISEASE induced by nitrosamine compounds.	Positive
20492121	2009	Journal of food science	MESH:D011023	Staphylococcus aureus	Food ID:39352	oregano	The study was carried out to evaluate the effects of gamma-irradiation alone or in combination with ANN-FOOD essential oil on murein composition of ANN-DISEASE and on the intracellular and extracellular concentration of ATP.	Positive
22417372	2011	Journal of food science	MESH:D000230	adenocarcinoma	Food ID:4682	garlic	The effect of diallyl disulfide (DADS), a major component of an oil-soluble allyl sulfide ANN-FOOD (Allium sativum) derivative, on the correlation between anti-invasive activity and tightening of tight junctions (TJs) was investigated in human gastric ANN-DISEASE AGS cells.	Neutral
22417372	2011	Journal of food science	MESH:D000230	adenocarcinoma	Food ID:4682	Allium sativum	The effect of diallyl disulfide (DADS), a major component of an oil-soluble allyl sulfide garlic (ANN-FOOD) derivative, on the correlation between anti-invasive activity and tightening of tight junctions (TJs) was investigated in human gastric ANN-DISEASE AGS cells.	Neutral
22422566	2012	Phytotherapy research : PTR	MESH:D010146	pain	Food ID:3311	Ginkgo biloba	EGb 761 is a standardized extract of ANN-FOOD that has analgaesic and antiinflammatory properties and modulatory effects on key ANN-DISEASE-related molecules.	Positive
22427772	2010	Archives of medical science : AMS	MESH:D010003	osteoarthritis	Food ID:98504	Matricaria chamomilla	The aim of the study was to assess the efficacy and safety of Marhame-Mafasel pomade, which consists of several medical herbs including Arnebia euchroma and ANN-FOOD, in ANN-DISEASE of the knee.	Neutral
22429024	2012	Journal of food science	MESH:D015179	colon cancer	Food ID:51089	nutmeg	Moreover, the essential oil obtained from ANN-FOOD, as well as myristicin, showed a significant in vitro inhibitory effect on the growth of a ANN-DISEASE cell line (undifferentiated Caco-2 cells).	Positive
22431070	2012	Phytotherapy research : PTR	MESH:D010195	pancreatic lipase	Food ID:4232	Helianthus annuus	Earlier work in our laboratory indicated that ethanolic extracts of Tabebuia impetiginosa, Arctium lappa L., Calendula officinalis, ANN-FOOD, Linum usitatissimum and L. propolis, inhibit ANN-DISEASE in vitro.	Positive
22431070	2012	Phytotherapy research : PTR	MESH:D010195	pancreatic lipase	Food ID:4006	Linum usitatissimum	Earlier work in our laboratory indicated that ethanolic extracts of Tabebuia impetiginosa, Arctium lappa L., Calendula officinalis, Helianthus annuus, ANN-FOOD and L. propolis, inhibit ANN-DISEASE in vitro.	Positive
22441173	2012	Gynecologic and obstetric investigation	MESH:D007511	ischemia	Food ID:555479	Nigella sativa	BACKGROUND: To evaluate biochemically and histopathologically the effects of ANN-FOOD (NS) in experimental ANN-DISEASE and ischemia/reperfusion (I/R) injury in rat ovaries.	Neutral
22441173	2012	Gynecologic and obstetric investigation	MESH:D007511	ischemia	Food ID:555479	Nigella sativa	BACKGROUND: To evaluate biochemically and histopathologically the effects of ANN-FOOD (NS) in experimental ischemia and ANN-DISEASE/reperfusion (I/R) injury in rat ovaries.	Neutral
22446868	2012	The Indian journal of medical research	MESH:D001172	rheumatoid arthritis	Food ID:4047	Coriandrum sativum	OBJECTIVE ``BACKGROUND & OBJECTIVES'': ANN-FOOD (CS), has been widely used in traditional systems of medicine for treatment of ANN-DISEASE.	Positive
22447631	2012	Phytotherapy research : PTR	MESH:D010190	pancreatic cancer	Food ID:637930	Aframomum melegueta	Screening of eight Congolese medicinal plants showed that the CHCl(3) and MeOH extracts of ANN-FOOD (PC(50)  = 47.8 ug/mL and 13.8 ug/mL, respectively) and CHCl(3) extracts of Garcinia huillensis (PC(50)  = 17.8 ug/mL) and Securidaca longepedunculata (PC(50)  = 23.4 ug/mL) had preferential cytotoxicity against human ANN-DISEASE PANC-1 cells under nutrient-deprived conditions.	Positive
24393682	1998	Asia Pacific journal of clinical nutrition	MESH:D004927	Escherichia coli	Food ID:49992	thyme	Among several species we have targeted elite clonal lines of ANN-FOOD (Thymus vulgaris) and oregano (Origanum vulgare) against ANN-DISEASE and Clostridium perfrigens in fresh and processed meats.	Neutral
24393682	1998	Asia Pacific journal of clinical nutrition	MESH:D004927	Escherichia coli	Food ID:49992	Thymus vulgaris	Among several species we have targeted elite clonal lines of thyme (ANN-FOOD) and oregano (Origanum vulgare) against ANN-DISEASE and Clostridium perfrigens in fresh and processed meats.	Neutral
24393682	1998	Asia Pacific journal of clinical nutrition	MESH:D004927	Escherichia coli	Food ID:39352	oregano	Among several species we have targeted elite clonal lines of thyme (Thymus vulgaris) and ANN-FOOD (Origanum vulgare) against ANN-DISEASE and Clostridium perfrigens in fresh and processed meats.	Positive
24393682	1998	Asia Pacific journal of clinical nutrition	MESH:D004927	Escherichia coli	Food ID:39352	Origanum vulgare	Among several species we have targeted elite clonal lines of thyme (Thymus vulgaris) and oregano (ANN-FOOD) against ANN-DISEASE and Clostridium perfrigens in fresh and processed meats.	Neutral
24393682	1998	Asia Pacific journal of clinical nutrition	MESH:D013276	gastric ulcer	Food ID:39350	basil	We are also evaluating high phenolic profile-containing clonal lines of ANN-FOOD (Ocimum basilicum) to inhibit ANN-DISEASE-causing Helicobacter pylori.	Neutral
24393682	1998	Asia Pacific journal of clinical nutrition	MESH:D013276	gastric ulcer	Food ID:39350	Ocimum basilicum	We are also evaluating high phenolic profile-containing clonal lines of basil (ANN-FOOD) to inhibit ANN-DISEASE-causing Helicobacter pylori.	Positive
24393794	1999	Asia Pacific journal of clinical nutrition	MESH:D006461	hemolysis	Food ID:136217	turmeric	The protective effect of the aqueous extracted ANN-FOOD antioxidant protein on H2O2-induced red blood cell lipid peroxidation and ANN-DISEASE was investigated.	Neutral
24393794	1999	Asia Pacific journal of clinical nutrition	MESH:D006461	hemolysis	Food ID:136217	Turmeric	ANN-FOOD antioxidant protein inhibited lipid peroxidation and ANN-DISEASE by 70% and 80%, respectively, and was found to be more effective as an antioxidant than were -tocopherol and curcumin.	Positive
24409979	2014	Journal of dietary supplements	MESH:D003920	diabetic	Food ID:52570	caraway	OBJECTIVE: This study examined the effects of ANN-FOOD plant on blood levels of glucose, lipid profile, and C-reactive protein in ANN-DISEASE rats.	Neutral
24409979	2014	Journal of dietary supplements	MESH:D003920	diabetic	Food ID:52570	caraway	METHODS: Thirty two male Wistar rats were randomly divided into four groups: group 1: nondiabetic control rats, group 2: ANN-DISEASE rats, group 3, and 4 (ANN-FOOD treated diabetic groups): each rat was treated with caraway at doses of 1 g/kg in group 3 and 2 g/kg in group 4.	Neutral
24409979	2014	Journal of dietary supplements	MESH:D003920	diabetic	Food ID:52570	caraway	METHODS: Thirty two male Wistar rats were randomly divided into four groups: group 1: nondiabetic control rats, group 2: diabetic rats, group 3, and 4 (ANN-FOOD treated ANN-DISEASE groups): each rat was treated with caraway at doses of 1 g/kg in group 3 and 2 g/kg in group 4.	Neutral
24409979	2014	Journal of dietary supplements	MESH:D003920	diabetic	Food ID:52570	caraway	METHODS: Thirty two male Wistar rats were randomly divided into four groups: group 1: nondiabetic control rats, group 2: ANN-DISEASE rats, group 3, and 4 (caraway treated diabetic groups): each rat was treated with ANN-FOOD at doses of 1 g/kg in group 3 and 2 g/kg in group 4.	Neutral
24409979	2014	Journal of dietary supplements	MESH:D003920	diabetic	Food ID:52570	caraway	METHODS: Thirty two male Wistar rats were randomly divided into four groups: group 1: nondiabetic control rats, group 2: diabetic rats, group 3, and 4 (caraway treated ANN-DISEASE groups): each rat was treated with ANN-FOOD at doses of 1 g/kg in group 3 and 2 g/kg in group 4.	Neutral
24409979	2014	Journal of dietary supplements	MESH:D003920	Diabetic	Food ID:52570	caraway	RESULTS: ANN-DISEASE rats receiving 1 and 2 g/kg ANN-FOOD extracts had significantly lower total cholesterol (p = .036 and p = .010, respectively), low-density lipoprotein (p = .001 and p = .002, respectively), non-HDL-C (p = .003 and p = .007, respectively), LDL-C to HDL-C ratio (p = .002) and atherogenic index (p = .001) than that of diabetic control rats.	Positive
24409979	2014	Journal of dietary supplements	MESH:D003920	diabetic	Food ID:52570	caraway	RESULTS: Diabetic rats receiving 1 and 2 g/kg ANN-FOOD extracts had significantly lower total cholesterol (p = .036 and p = .010, respectively), low-density lipoprotein (p = .001 and p = .002, respectively), non-HDL-C (p = .003 and p = .007, respectively), LDL-C to HDL-C ratio (p = .002) and atherogenic index (p = .001) than that of ANN-DISEASE control rats.	Positive
24409979	2014	Journal of dietary supplements	MESH:D003920	diabetic	Food ID:52570	caraway	Moreover, there were significant changes in fasting blood glucose in ANN-DISEASE groups treated with 1 and 2 g/kg ANN-FOOD extracts (p = .001 and p = .027, respectively) compared with the diabetic control.	Positive
24409979	2014	Journal of dietary supplements	MESH:D003920	diabetic	Food ID:52570	caraway	Moreover, there were significant changes in fasting blood glucose in diabetic groups treated with 1 and 2 g/kg ANN-FOOD extracts (p = .001 and p = .027, respectively) compared with the ANN-DISEASE control.	Positive
24409979	2014	Journal of dietary supplements	MESH:D003920	diabetic	Food ID:52570	caraway	However, ANN-FOOD did not have any significant effect on C-reactive protein level in ANN-DISEASE rats.	Neutral
24409979	2014	Journal of dietary supplements	MESH:D003920	diabetes	Food ID:52570	caraway	CONCLUSIONS ``CONCLUSION'': This study suggests that ANN-FOOD can exhibit blood glucose and lipid lowering activities in ANN-DISEASE, without any effect on C-reactive protein level.	Positive
24411672	2014	Journal of Crohn's & colitis	MESH:D003092	colitis	Food ID:49992	wild thyme	METHODS: The intestinal anti-inflammatory effects of Serpylli herba, the officinal drug in the European Pharmacopeia composed by the aerial parts of ANN-FOOD (Thymus serpyllum), were evaluated in the trinitrobenzenesulfonic acid (TNBS)-induced rat ANN-DISEASE and dextran sodium sulfate (DSS)-induced mouse colitis, which are well characterized experimental models with some resemblance to human IBD.	Neutral
